sku;ed_model;ed_color;ed_size;;
475221;Aspen;green;H120.D89.;;
130295;Roma;aluminium;L21.W16.H2;;
130296;Roma;aluminium;L23.W28.H2;;
130303;Roma;aluminium;L52.W11.H3;;
130306;Roma;aluminium;L35.5.W11.H12;;
130309;Roma;aluminium;H13.D28.;;
130310;Roma;aluminium;H15.D35.;;
862840;Connect Xp;clear;L180;;
48311;Malio;transparent;H25.D9.;;
132107;Bilbao;black;L20.W20.H40;;
132108;Bilbao;black;L32.W32.H71;;
132109;Bilbao;black;L14.W14.H37.5;;
132111;Porto;black;L16.W16.H28;;
132114;Porto;white;L22.5.W22.5.H38;;
132117;Porto;black;L28.W28.H79;;
132119;Porto;black;L34.W34.H105;;
132197;;white;H72.D37.;;
132261;;white;L41.W23.H59;;
132262;;brown;L41.W23.H59;;
134190;Venezia;white;H8.D9.5.;;
134191;Venezia;white;H12.D14.;;
134193;Venezia;brown;H8.D9.5.;;
134194;Venezia;brown;H12.D14.;;
134196;Venezia;grey;H8.D9.5.;;
134197;Venezia;grey;H12.D14.;;
134198;Venezia;grey;H13.5.D16.;;
703245;Vera;white;H20.D20.;;
703246;Vera;white;H25.D25.;;
703247;Vera;white;H30.D30.;;
703248;Vera;white;H35.D35.;;
703249;Vera;white;H11.D23.;;
703250;Vera;white;H13.D28.;;
134280;Grazia;d.brown;L8.W8.H8;;
134351;Grazia;copper;L15.W15.H20;;
134352;Luciano;transparent;H16.D13.;;
134353;Luciano;transparent;H21.D16.;;
134355;Luciano;transparent;H39.D21.;;
134356;Luciano;transparent;H50.D26.;;
134357;Luciano;transparent;H37.D16.;;
134358;Luciano;champagne;H16.D13.;;
134359;Luciano;champagne;H21.D16.;;
134360;Luciano;champagne;H37.D16.;;
134371;Cara;brass;H7.D8.;;
134372;Cara;brass;H10.D11.5.;;
134373;Cara;silver;H7.D8.;;
134374;Cara;silver;H10.D11.5.;;
134376;Luka;brass;H4.5.D15.;;
134377;Luka;silver;H3.7.D12.;;
134380;Luka;silver;H4.5.D15.;;
134390;Djerba;silver;H12.D8.5.;;
134391;Djerba;silver;L9.W9.H15;;
134393;Djerba;silver;L12.W9.5.H9.5;;
337793;Sissy;brown;L85.W35.H78;;
98805;Colorado;green;D150.;;
88851;Scandia;green;H500.D274.;;
288805;Norway;green;H185.D135.;;
950044;;NULL;;;
950041;;NULL;;;
950033;;NULL;;;
950021;;NULL;;;
11903;;white;L64.W48;;
288810;Norway;green;H305.D196.;;
288801;Norway;green;H60.D46.;;
288802;Norway;green;H90.D71.;;
288804;Norway;green;H155.D109.;;
288807;Norway;green;H215.D152.;;
288808;Norway;green;H230.D165.;;
288857;Scandia;green;H230.D163.;;
10154;;d.green;L38.W19.5.H9.3;;
10155;;l.green;L38.W19.5.H9.3;;
10156;;beige;L38.W20.H9.3;;
10656;Mica;beige;L14.5.W8.H9.5;;
288852;Scandia;green;H425.D203.;;
288809;Norway;green;H260.D178.;;
288931;Norway;blue;H60.D46.;;
288932;Norway;blue;H90.D71.;;
288853;Scandia;green;H155.D112.;;
288854;Scandia;green;H185.D124.;;
288856;Scandia;green;H215.D150.;;
288858;Scandia;green;H260.D163.;;
288859;Scandia;green;H305.D175.;;
136116;Benito;white;H10.D10.5.;;
136117;Benito;white;H7.D6.5.;;
136120;Benito;l.blue;H10.D10.5.;;
136121;Benito;l.blue;H7.D6.5.;;
136126;Tavira;white;H9.D9.;;
136127;Tavira;white;H7.5.D7.;;
136131;Tavira;l.blue;H7.5.D7.;;
136138;Real;l.blue;H8.5.D8.;;
136167;Sebastian;silver;H27.D9.;;
136168;Sebastian;silver;H32.D9.;;
136173;Sebastian;bronze;H27.D9.;;
136174;Sebastian;bronze;H32.D9.;;
363012;Connect 24;warm white;L300.H40;;
136259;Tripoli (niet gebruiken);white wash;H14.D11.;;
136260;Tripoli (niet gebruiken);white wash;H20.D11.;;
136261;Tripoli (niet gebruiken);white wash;H29.D11.;;
136262;Tripoli (niet gebruiken);silver;H14.D11.;;
136263;Tripoli (niet gebruiken);silver;H20.D11.;;
136264;Tripoli (niet gebruiken);silver;H29.D11.;;
136265;Tripoli (niet gebruiken);black;H14.D11.;;
136266;Tripoli (niet gebruiken);black;H20.D11.;;
136267;Tripoli (niet gebruiken);black;H29.D11.;;
136325;Bright;copper;H16.D13.;;
136331;Bright;white;H16.D13.;;
136332;Bright;white;H18.D17.;;
389055;Nottingham;green;H155.D102.;;
389056;Nottingham;green;H185.D117.;;
389057;Nottingham;green;H215.D132.;;
389058;Nottingham;green;H230.D140.;;
389059;Nottingham;green;H260.D160.;;
389075;Nottingham;blue;H155.D102.;;
389076;Nottingham;blue;H185.D117.;;
389077;Nottingham;blue;H215.D132.;;
389078;Nottingham;blue;H230.D140.;;
389079;Nottingham;blue;H260.D160.;;
389095;Sherwood;green;H155.D112.;;
389096;Sherwood;green;H185.D127.;;
389097;Sherwood;green;H215.D135.;;
389098;Sherwood;green;H230.D142.;;
389099;Sherwood;green;H260.D150.;;
389115;Sherwood;blue;H155.D112.;;
389116;Sherwood;blue;H185.D127.;;
389117;Sherwood;blue;H215.D135.;;
389118;Sherwood;blue;H230.D142.;;
389119;Sherwood;blue;H260.D150.;;
136338;Kendels;silver;L12.5.W12.5.H2;;
136339;Kendels;silver;L21.W21.H2.5;;
136342;Kendels;black;L21.W21.H2.5;;
136376;Zio;black;L20.W7.H14;;
136377;Zio;black;L30.W6.H6;;
136378;Zio;black;L7.W7.H7;;
136381;Zio;white;L7.W7.H7;;
